num choices/num voters,3,5,7,9,11,13,15,21,31,41,51
3,Nan,0.1467 (0.0833-0.1905),0.1007 (-0.0833-0.15),0.0724 (-0.175-0.1231),0.0548 (-0.2333-0.3619),0.0434 (-0.2738-0.3194),0.0358 (-0.3036-0.2857),0.0239 (-0.3591-0.3501),0.0165 (-0.4042-0.4262),0.0135 (-0.4274-0.4633),0.0118 (-0.4415-0.4401)
4,0.2878 (0.1667-0.3571),0.1712 (-0.1667-0.25),0.116 (-0.3056-0.5375),0.0872 (-0.3833-0.4524),Nan,Nan,Nan,Nan,Nan,Nan,Nan
5,0.3052 (0.0-0.4),Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
6,0.316 (-0.1-0.4231),Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
num voters,,5,7,9,11,13,15,21,31,41,51
simulation 100K,,,0.0998,0.0713,0.0565,0.0452,0.036,0.0246,0.0158,0.0136,0.0114
simulation 1M,,,0.101,0.0721,0.055,0.0434,0.0362,0.0237,0.0169,0.0134,0.0116
anayltical,,,0.1007,0.0724,0.0548,0.0434,0.0358,0.0239,0.0165,0.0135,0.0118
relative difference 100k,,,0.89%,1.52%,-3.10%,-4.15%,-0.56%,-2.93%,4.24%,-0.74%,3.39%
relative difference 1M,,,-0.30%,0.41%,-0.36%,0.00%,-1.12%,0.84%,-2.42%,0.74%,1.69%
Average difference 100k,-0.16%,,,,,,,,,,
Average difference 1M,-0.06%,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,0.015193370165746,-0.031021897810219,-0.04147465437788,-0.005586592178771,-0.02928870292887,0.042424242424242,-0.007407407407407,0.033898305084746
,,,,,,,,,,,
,,,,,,,,,,,
,,,,-0.001591766565995,,,,,,,
,,,,-0.000575109157686,,,,,,,
